alldata1,alldata2,alldata3,alldata4,alldata5,alldata6,alldata7,alldata8,alldata9,alldata10,alldata11,alldata12,alldata13,alldata14,alldata15,alldata16,alldata17,alldata18,alldata19,alldata20,alldata21
1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551,1.49984263661551
1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712,1.50031642703712
1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872,1.50079021745872
1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032,1.50126400788032
1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193,1.50173779830193
1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353,1.50221158872353
1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513,1.50268537914513
1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674,1.50315916956674
1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834,1.50363295998834
1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994,1.50410675040994
1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155,1.50458054083155
1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315,1.50505433125315
1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475,1.50552812167475
1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636,1.50600191209636
1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796,1.50647570251796
1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956,1.50694949293956
1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117,1.50742328336117
